127.0.0.1 - - [24/Sep/2019:15:10:19 +0900] "GET / HTTP/1.1" 404 1115
10.96.124.207 - - [24/Sep/2019:15:12:45 +0900] "GET /jspMenuProj/login.jsp HTTP/1.1" 200 3386
10.96.124.207 - - [24/Sep/2019:15:12:57 +0900] "POST /jspMenuProj/loginProc.jsp HTTP/1.1" 200 395
10.96.124.207 - - [24/Sep/2019:15:12:58 +0900] "GET /jspMenuProj/login.jsp HTTP/1.1" 200 3386
10.96.124.207 - - [24/Sep/2019:15:13:00 +0900] "GET /jspMenuProj/index.jsp HTTP/1.1" 200 28292
0:0:0:0:0:0:0:1 - - [24/Sep/2019:15:25:12 +0900] "GET /jspMenuProj/login.jsp HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [24/Sep/2019:15:25:12 +0900] "GET /jspMenuProj/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:15:25:22 +0900] "POST /jspMenuProj/loginProc.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [24/Sep/2019:15:25:25 +0900] "GET /jspMenuProj/indexx.jsp HTTP/1.1" 200 27937
0:0:0:0:0:0:0:1 - - [24/Sep/2019:15:25:26 +0900] "GET /jspMenuProj/myPage.jsp HTTP/1.1" 200 4079
0:0:0:0:0:0:0:1 - - [24/Sep/2019:15:25:28 +0900] "GET /jspMenuProj/sugViewEnroll.jsp HTTP/1.1" 200 5681
0:0:0:0:0:0:0:1 - - [24/Sep/2019:15:25:30 +0900] "GET /jspMenuProj/logout.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [24/Sep/2019:15:25:32 +0900] "GET /jspMenuProj/index.jsp HTTP/1.1" 200 28292
10.96.124.230 - - [24/Sep/2019:15:27:25 +0900] "GET /jspMenuProj/index.jsp HTTP/1.1" 200 28292
10.96.124.230 - - [24/Sep/2019:15:27:25 +0900] "GET /jspMenuProj/css/index.css HTTP/1.1" 200 590
10.96.124.230 - - [24/Sep/2019:15:27:25 +0900] "GET /jspMenuProj/img/logo.png HTTP/1.1" 200 52685
10.96.124.230 - - [24/Sep/2019:15:27:26 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
10.96.124.230 - - [24/Sep/2019:15:27:27 +0900] "GET /jspMenuProj/dateMenu.jsp HTTP/1.1" 200 4032
10.96.124.230 - - [24/Sep/2019:15:27:39 +0900] "POST /jspMenuProj/dateMenu.jsp HTTP/1.1" 200 4366
10.96.124.230 - - [24/Sep/2019:15:27:51 +0900] "POST /jspMenuProj/dateMenu.jsp HTTP/1.1" 200 4032
10.96.124.230 - - [24/Sep/2019:15:27:57 +0900] "POST /jspMenuProj/dateMenu.jsp HTTP/1.1" 200 4366
10.96.124.230 - - [24/Sep/2019:15:28:09 +0900] "POST /jspMenuProj/dateMenu.jsp HTTP/1.1" 200 4343
10.96.124.230 - - [24/Sep/2019:15:28:18 +0900] "GET /jspMenuProj/index.jsp HTTP/1.1" 200 28292
10.96.124.230 - - [24/Sep/2019:15:28:19 +0900] "GET /jspMenuProj/todayMenu.jsp HTTP/1.1" 200 4468
10.96.124.230 - - [24/Sep/2019:15:28:20 +0900] "GET /jspMenuProj/dateMenu.jsp HTTP/1.1" 200 4032
10.96.124.230 - - [24/Sep/2019:15:28:23 +0900] "GET /jspMenuProj/todayMenu.jsp HTTP/1.1" 200 4468
10.96.124.230 - - [24/Sep/2019:15:28:31 +0900] "GET /jspMenuProj/dateMenu.jsp HTTP/1.1" 200 4032
10.96.124.230 - - [24/Sep/2019:15:28:34 +0900] "GET /jspMenuProj/index.jsp HTTP/1.1" 200 28292
10.96.124.230 - - [24/Sep/2019:15:28:44 +0900] "POST /jspMenuProj/searchMenu.jsp HTTP/1.1" 200 20228
10.96.124.230 - - [24/Sep/2019:15:28:51 +0900] "POST /jspMenuProj/searchMenu.jsp HTTP/1.1" 200 4046
10.96.124.230 - - [24/Sep/2019:15:29:09 +0900] "GET /jspMenuProj/sugBoard.jsp HTTP/1.1" 200 4939
10.96.124.230 - - [24/Sep/2019:15:29:16 +0900] "GET /jspMenuProj/login.jsp HTTP/1.1" 200 3386
10.96.124.230 - - [24/Sep/2019:15:29:16 +0900] "GET /jspMenuProj/css/login.css HTTP/1.1" 200 544
10.96.124.230 - - [24/Sep/2019:15:29:24 +0900] "POST /jspMenuProj/loginProc.jsp HTTP/1.1" 200 511
10.96.124.230 - - [24/Sep/2019:15:29:26 +0900] "GET /jspMenuProj/indexx.jsp HTTP/1.1" 200 27937
10.96.124.230 - - [24/Sep/2019:15:29:28 +0900] "GET /jspMenuProj/sugBoardd.jsp HTTP/1.1" 200 4852
10.96.124.230 - - [24/Sep/2019:15:29:29 +0900] "GET /jspMenuProj/sugViewEnroll.jsp HTTP/1.1" 200 5681
10.96.124.230 - - [24/Sep/2019:15:29:33 +0900] "POST /jspMenuProj/sugViewEnrollProc.jsp HTTP/1.1" 200 488
10.96.124.230 - - [24/Sep/2019:15:29:34 +0900] "GET /jspMenuProj/myPage.jsp HTTP/1.1" 200 4079
10.96.124.230 - - [24/Sep/2019:15:29:35 +0900] "GET /jspMenuProj/sugBoardd.jsp HTTP/1.1" 200 5283
10.96.124.230 - - [24/Sep/2019:15:29:37 +0900] "GET /jspMenuProj/sugView.jsp?title=aaa HTTP/1.1" 200 4318
10.96.124.230 - - [24/Sep/2019:15:29:40 +0900] "GET /jspMenuProj/sugView.jsp?title=%EC%98%A4%EB%8A%98%20%EC%83%9D%EC%84%A0%EC%9D%B4%20%EB%84%88%EB%AC%B4%20%EC%A7%B0%EC%96%B4%EC%9A%94... HTTP/1.1" 200 4993
10.96.124.230 - - [24/Sep/2019:15:29:49 +0900] "POST /jspMenuProj/sugViewCmt.jsp HTTP/1.1" 200 420
10.96.124.230 - - [24/Sep/2019:15:29:49 +0900] "GET /jspMenuProj/sugView.jsp?title=%EC%98%A4%EB%8A%98%20%EC%83%9D%EC%84%A0%EC%9D%B4%20%EB%84%88%EB%AC%B4%20%EC%A7%B0%EC%96%B4%EC%9A%94... HTTP/1.1" 200 5519
10.96.124.230 - - [24/Sep/2019:15:29:52 +0900] "GET /jspMenuProj/myPage.jsp HTTP/1.1" 200 4079
10.96.124.230 - - [24/Sep/2019:15:29:54 +0900] "GET /jspMenuProj/logout.jsp HTTP/1.1" 200 322
10.96.124.230 - - [24/Sep/2019:15:29:56 +0900] "GET /jspMenuProj/index.jsp HTTP/1.1" 200 28292
10.96.124.230 - - [24/Sep/2019:15:29:57 +0900] "GET /jspMenuProj/login.jsp HTTP/1.1" 200 3386
10.96.124.230 - - [24/Sep/2019:15:30:02 +0900] "POST /jspMenuProj/loginProc.jsp HTTP/1.1" 200 509
10.96.124.230 - - [24/Sep/2019:15:30:05 +0900] "GET /jspMenuProj/indexx.jsp HTTP/1.1" 200 27935
10.96.124.230 - - [24/Sep/2019:15:30:06 +0900] "GET /jspMenuProj/myPage.jsp HTTP/1.1" 200 4149
10.96.124.230 - - [24/Sep/2019:15:30:10 +0900] "GET /jspMenuProj/memberCtrl.jsp HTTP/1.1" 200 3468
10.96.124.230 - - [24/Sep/2019:15:30:10 +0900] "GET /jspMenuProj/css/memberCtrl.css HTTP/1.1" 200 361
10.96.124.230 - - [24/Sep/2019:15:30:14 +0900] "GET /jspMenuProj/menuCtrl.jsp HTTP/1.1" 200 13358
10.96.124.230 - - [24/Sep/2019:15:30:19 +0900] "GET /jspMenuProj/menuChange.jsp?menu_date=2019-09-09&mtype=%EC%A4%91%EC%8B%9D HTTP/1.1" 200 6384
10.96.124.230 - - [24/Sep/2019:15:30:31 +0900] "GET /jspMenuProj/menuChange.jsp?menu_date=2019-09-23&mtype=%EC%A4%91%EC%8B%9D HTTP/1.1" 200 6411
10.96.124.230 - - [24/Sep/2019:15:30:38 +0900] "POST /jspMenuProj/menuChangeProc.jsp HTTP/1.1" 200 485
10.96.124.230 - - [24/Sep/2019:15:30:39 +0900] "GET /jspMenuProj/indexx.jsp HTTP/1.1" 200 27935
10.96.124.230 - - [24/Sep/2019:15:30:41 +0900] "GET /jspMenuProj/dateMenuu.jsp HTTP/1.1" 200 3962
10.96.124.230 - - [24/Sep/2019:15:30:46 +0900] "POST /jspMenuProj/dateMenuu.jsp HTTP/1.1" 200 4274
10.96.124.230 - - [24/Sep/2019:15:30:52 +0900] "POST /jspMenuProj/dateMenuu.jsp HTTP/1.1" 200 4282
10.96.124.230 - - [24/Sep/2019:15:30:57 +0900] "POST /jspMenuProj/dateMenuu.jsp HTTP/1.1" 200 4289
10.96.124.230 - - [24/Sep/2019:15:31:02 +0900] "GET /jspMenuProj/logout.jsp HTTP/1.1" 200 322
10.96.124.230 - - [24/Sep/2019:15:31:05 +0900] "GET /jspMenuProj/index.jsp HTTP/1.1" 200 28292
